question,answer,id
Was Abraham Lincoln the sixteenth President of the United States?,yes,0
Did Lincoln sign the National Banking Act of 1863?,yes,2
Did his mother die of pneumonia?,no,4
How many long was Lincoln's formal education?,18 months,6
When did Lincoln begin his political career?,1832,8
What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history",10
Who suggested Lincoln grow a beard?,11-year-old Grace Bedell,12
When did the Gettysburg address argue that America was born?,1776,14
Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,16
Was Abraham Lincoln the first President of the United States?,No,18
Did Lincoln start his political career in 1832?,Yes,20
Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,22
Which county was Lincoln born in?,Hardin County,24
When did Lincoln first serve as President?,"March 4, 1861",26
Who assassinated Lincoln?,John Wilkes Booth,28
Did Lincoln win the election of 1860?,Yes,30
Who was the general in charge at the Battle of Antietam?,General McClellan,32
Why did Lincoln issue the Emancipation Proclamation?,To free slaves ,34
Do scholars rank lincoln among the top three presidents?,Yes,37
Did lincoln have 18 months of schooling?,Yes,39
Was Lincoln chosen as a presidential candidate in 1860?,Yes,41
How old was Lincoln in 1816?,seven,43
When was the first photgraph of lincoln taken?,1846,45
How long was Lincoln's legal Career?,23 years,47
What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong",49
Did Abraham Lincoln live in the Frontier?,Yes,51
Did Lincoln's Wife's Family support slavery?,Yes,53
Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro,80
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro,83
When did he publish another memoria?,1821,86
When did he become a professor?,1820,89
Is it true that he became a professor in 1820?,yes,92
Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes,95
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes,98
Is he most noted for his contributions to the theory of molarity and molecular weight?,yes,101
Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes,115
Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes,118
Did the scientific community not reserve great attention to his theory ?,yes,123
Can the title of this famous 1811 paper be roughly translated into english?,yes,131
What happened in 1833?,Avogadro had been recalled to Turin university,136
Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius,139
What is named after him?,The Celsius crater on the Moon,140
When did he publish a collection?,1733,141
Is it true that he published a collection in 1738?,No,142
Is it true that thermometer had 100 for the freezing point?,Yes,143
Was Celsius born in Uppsala in Sweden?,Yes,144
"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Yes,145
Is The Celsius crater on the Moon named after him?,Yes,146
Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius,147
The Celsius crater on the Moon is what?,named after him,148
Is the Celsius crater on the Moon named after him ?,Yes,149
Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,Yes it had,150
Was Celsius born in Uppsala in Sweden ?,Yes,151
Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,Yes he did,153
What happened from 1730 to 1744?,He was professor of astronomy at Uppsala University,154
What happened in 1745?,The scale was reversed,155
Are beetles insects?,Yes,156
Can beetles be found in polar regions?,No,158
Do beetles antennae function primarily as organs of smell?,Yes,160
What are the three sections of a beetle?,"the head, the thorax, and the abdomen",162
Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry,164
Which type of beetle is a pest of potato plants?,Colorado potato beetle,166
How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",168
What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.",170
What are the similarities between beetles and grasshoppers?,mouthparts,172
