param_k,param_lambda,param_rho_div,question_id,question_text,document_id
20,0.5,0.8,1492,Did Theodore Roosevelt study Judo?,"2883,2887,2890,3005,3008,3033"
20,0.5,0.9,1492,Did Theodore Roosevelt study Judo?,"2883,2887,2890,3005,3008,3033"
20,0.65,0.8,1492,Did Theodore Roosevelt study Judo?,2883
20,0.65,0.9,1492,Did Theodore Roosevelt study Judo?,2883
20,0.7,0.8,1492,Did Theodore Roosevelt study Judo?,2883
20,0.7,0.9,1492,Did Theodore Roosevelt study Judo?,2883
40,0.5,0.8,1492,Did Theodore Roosevelt study Judo?,2883
40,0.5,0.9,1492,Did Theodore Roosevelt study Judo?,2883
40,0.65,0.8,1492,Did Theodore Roosevelt study Judo?,2883
40,0.65,0.9,1492,Did Theodore Roosevelt study Judo?,2883
40,0.7,0.8,1492,Did Theodore Roosevelt study Judo?,2883
40,0.7,0.9,1492,Did Theodore Roosevelt study Judo?,2883
80,0.5,0.8,1492,Did Theodore Roosevelt study Judo?,2883
80,0.5,0.9,1492,Did Theodore Roosevelt study Judo?,2883
80,0.65,0.8,1492,Did Theodore Roosevelt study Judo?,1517
80,0.65,0.9,1492,Did Theodore Roosevelt study Judo?,1517
80,0.7,0.8,1492,Did Theodore Roosevelt study Judo?,1517
80,0.7,0.9,1492,Did Theodore Roosevelt study Judo?,1517
20,0.5,0.8,178,Are beetles endopterygotes?,"2378,2383,2384,2385,2386,2388,2392,2394,2397,2399,2400,2402,2417,2419,2424,2432,2443"
20,0.5,0.9,178,Are beetles endopterygotes?,"2378,2383,2384,2385,2386,2388,2392,2394,2397,2399,2400,2402,2417,2419,2424,2432,2443"
20,0.65,0.8,178,Are beetles endopterygotes?,2394
20,0.65,0.9,178,Are beetles endopterygotes?,2394
20,0.7,0.8,178,Are beetles endopterygotes?,2394
20,0.7,0.9,178,Are beetles endopterygotes?,2394
40,0.5,0.8,178,Are beetles endopterygotes?,2394
40,0.5,0.9,178,Are beetles endopterygotes?,2394
40,0.65,0.8,178,Are beetles endopterygotes?,2394
40,0.65,0.9,178,Are beetles endopterygotes?,2394
40,0.7,0.8,178,Are beetles endopterygotes?,2394
40,0.7,0.9,178,Are beetles endopterygotes?,2394
80,0.5,0.8,178,Are beetles endopterygotes?,2394
80,0.5,0.9,178,Are beetles endopterygotes?,2394
80,0.65,0.8,178,Are beetles endopterygotes?,2394
80,0.65,0.9,178,Are beetles endopterygotes?,2394
80,0.7,0.8,178,Are beetles endopterygotes?,2394
80,0.7,0.9,178,Are beetles endopterygotes?,2394
20,0.5,0.8,867,What did James Monroe make in 1817?,"2364,2506,2511,2512,2513,2518,2519,2532,2533,2534,2536"
20,0.5,0.9,867,What did James Monroe make in 1817?,"2364,2506,2511,2512,2513,2518,2519,2532,2533,2534,2536"
20,0.65,0.8,867,What did James Monroe make in 1817?,2506
20,0.65,0.9,867,What did James Monroe make in 1817?,2506
20,0.7,0.8,867,What did James Monroe make in 1817?,2506
20,0.7,0.9,867,What did James Monroe make in 1817?,2506
40,0.5,0.8,867,What did James Monroe make in 1817?,2506
