param_rho_vec,param_lambda,param_rho_div,question_id,question_text,document_id,question,ground_truth,predicted_answer,num_docs,exact_match,contains_answer,f1_score,cosine_similarity,euclidean_distance,dot_product_similarity,manhattan_distance,bertscore_precision,bertscore_recall,bertscore_f1
0.02,0.5,0.8,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
0.02,0.5,0.9,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
0.02,0.65,0.8,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
0.02,0.65,0.9,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
0.02,0.72,0.8,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
0.02,0.72,0.9,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
0.05,0.5,0.8,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
0.05,0.5,0.9,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
0.05,0.65,0.8,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
0.05,0.65,0.9,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
0.05,0.72,0.8,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
0.05,0.72,0.9,1492,Did Theodore Roosevelt study Judo?,2883,Did Theodore Roosevelt study Judo?,No,No,1,True,True,1.0,1.000000000000002,0.0,1.000000000000002,0.0,1.0,1.0,1.0
0.02,0.5,0.8,178,Are beetles endopterygotes?,2394,Are beetles endopterygotes?,yes,Yes,1,True,True,1.0,1.0000000000000013,0.0,1.0000000000000013,0.0,1.0000001192092896,1.0000001192092896,1.0000001192092896
0.02,0.5,0.9,178,Are beetles endopterygotes?,2394,Are beetles endopterygotes?,yes,Yes,1,True,True,1.0,1.0000000000000013,0.0,1.0000000000000013,0.0,1.0000001192092896,1.0000001192092896,1.0000001192092896
