param_rho_vec,param_lambda,param_rho_div,question_id,question_text,document_id
0.02,0.5,0.8,1492,Did Theodore Roosevelt study Judo?,2883
0.02,0.5,0.9,1492,Did Theodore Roosevelt study Judo?,2883
0.02,0.65,0.8,1492,Did Theodore Roosevelt study Judo?,2883
0.02,0.65,0.9,1492,Did Theodore Roosevelt study Judo?,2883
0.02,0.72,0.8,1492,Did Theodore Roosevelt study Judo?,2883
0.02,0.72,0.9,1492,Did Theodore Roosevelt study Judo?,2883
0.05,0.5,0.8,1492,Did Theodore Roosevelt study Judo?,2883
0.05,0.5,0.9,1492,Did Theodore Roosevelt study Judo?,2883
0.05,0.65,0.8,1492,Did Theodore Roosevelt study Judo?,2883
0.05,0.65,0.9,1492,Did Theodore Roosevelt study Judo?,2883
0.05,0.72,0.8,1492,Did Theodore Roosevelt study Judo?,2883
0.05,0.72,0.9,1492,Did Theodore Roosevelt study Judo?,2883
0.02,0.5,0.8,178,Are beetles endopterygotes?,2394
0.02,0.5,0.9,178,Are beetles endopterygotes?,2394
0.02,0.65,0.8,178,Are beetles endopterygotes?,2394
0.02,0.65,0.9,178,Are beetles endopterygotes?,2394
0.02,0.72,0.8,178,Are beetles endopterygotes?,2394
0.02,0.72,0.9,178,Are beetles endopterygotes?,2394
0.05,0.5,0.8,178,Are beetles endopterygotes?,2394
0.05,0.5,0.9,178,Are beetles endopterygotes?,2394
0.05,0.65,0.8,178,Are beetles endopterygotes?,2394
0.05,0.65,0.9,178,Are beetles endopterygotes?,2394
0.05,0.72,0.8,178,Are beetles endopterygotes?,2394
0.05,0.72,0.9,178,Are beetles endopterygotes?,2394
0.02,0.5,0.8,867,What did James Monroe make in 1817?,2506
0.02,0.5,0.9,867,What did James Monroe make in 1817?,2506
0.02,0.65,0.8,867,What did James Monroe make in 1817?,2506
0.02,0.65,0.9,867,What did James Monroe make in 1817?,2506
0.02,0.72,0.8,867,What did James Monroe make in 1817?,2506
0.02,0.72,0.9,867,What did James Monroe make in 1817?,2506
0.05,0.5,0.8,867,What did James Monroe make in 1817?,2506
0.05,0.5,0.9,867,What did James Monroe make in 1817?,2506
0.05,0.65,0.8,867,What did James Monroe make in 1817?,2506
0.05,0.65,0.9,867,What did James Monroe make in 1817?,2506
0.05,0.72,0.8,867,What did James Monroe make in 1817?,2506
0.05,0.72,0.9,867,What did James Monroe make in 1817?,2506
0.02,0.5,0.8,4,Did his mother die of pneumonia?,3085
0.02,0.5,0.9,4,Did his mother die of pneumonia?,3085
0.02,0.65,0.8,4,Did his mother die of pneumonia?,3085
0.02,0.65,0.9,4,Did his mother die of pneumonia?,3085
0.02,0.72,0.8,4,Did his mother die of pneumonia?,3085
0.02,0.72,0.9,4,Did his mother die of pneumonia?,3085
0.05,0.5,0.8,4,Did his mother die of pneumonia?,3085
0.05,0.5,0.9,4,Did his mother die of pneumonia?,3085
0.05,0.65,0.8,4,Did his mother die of pneumonia?,3085
0.05,0.65,0.9,4,Did his mother die of pneumonia?,3085
0.05,0.72,0.8,4,Did his mother die of pneumonia?,3085
0.05,0.72,0.9,4,Did his mother die of pneumonia?,3085
0.02,0.5,0.8,1480,Where was Theodore Roosevelt born?,2883
0.02,0.5,0.9,1480,Where was Theodore Roosevelt born?,2883
0.02,0.65,0.8,1480,Where was Theodore Roosevelt born?,2883
0.02,0.65,0.9,1480,Where was Theodore Roosevelt born?,2883
0.02,0.72,0.8,1480,Where was Theodore Roosevelt born?,2883
0.02,0.72,0.9,1480,Where was Theodore Roosevelt born?,2883
0.05,0.5,0.8,1480,Where was Theodore Roosevelt born?,2883
0.05,0.5,0.9,1480,Where was Theodore Roosevelt born?,2883
0.05,0.65,0.8,1480,Where was Theodore Roosevelt born?,2883
0.05,0.65,0.9,1480,Where was Theodore Roosevelt born?,2883
0.05,0.72,0.8,1480,Where was Theodore Roosevelt born?,2883
0.05,0.72,0.9,1480,Where was Theodore Roosevelt born?,2883
0.02,0.5,0.8,428,Are elephants the largest land animals alive today?,1177
0.02,0.5,0.9,428,Are elephants the largest land animals alive today?,1177
0.02,0.65,0.8,428,Are elephants the largest land animals alive today?,1177
0.02,0.65,0.9,428,Are elephants the largest land animals alive today?,1177
0.02,0.72,0.8,428,Are elephants the largest land animals alive today?,1177
0.02,0.72,0.9,428,Are elephants the largest land animals alive today?,1177
0.05,0.5,0.8,428,Are elephants the largest land animals alive today?,1177
0.05,0.5,0.9,428,Are elephants the largest land animals alive today?,1177
0.05,0.65,0.8,428,Are elephants the largest land animals alive today?,1177
0.05,0.65,0.9,428,Are elephants the largest land animals alive today?,1177
0.05,0.72,0.8,428,Are elephants the largest land animals alive today?,1177
0.05,0.72,0.9,428,Are elephants the largest land animals alive today?,1177
0.02,0.5,0.8,774,What happens when the srivijaya kingdom formed trade links?,763
0.02,0.5,0.9,774,What happens when the srivijaya kingdom formed trade links?,763
0.02,0.65,0.8,774,What happens when the srivijaya kingdom formed trade links?,763
0.02,0.65,0.9,774,What happens when the srivijaya kingdom formed trade links?,763
0.02,0.72,0.8,774,What happens when the srivijaya kingdom formed trade links?,763
0.02,0.72,0.9,774,What happens when the srivijaya kingdom formed trade links?,763
0.05,0.5,0.8,774,What happens when the srivijaya kingdom formed trade links?,763
0.05,0.5,0.9,774,What happens when the srivijaya kingdom formed trade links?,763
0.05,0.65,0.8,774,What happens when the srivijaya kingdom formed trade links?,763
0.05,0.65,0.9,774,What happens when the srivijaya kingdom formed trade links?,763
0.05,0.72,0.8,774,What happens when the srivijaya kingdom formed trade links?,763
0.05,0.72,0.9,774,What happens when the srivijaya kingdom formed trade links?,763
0.02,0.5,0.8,47,How long was Lincoln's legal Career?,374
0.02,0.5,0.9,47,How long was Lincoln's legal Career?,374
0.02,0.65,0.8,47,How long was Lincoln's legal Career?,374
0.02,0.65,0.9,47,How long was Lincoln's legal Career?,374
0.02,0.72,0.8,47,How long was Lincoln's legal Career?,374
0.02,0.72,0.9,47,How long was Lincoln's legal Career?,374
0.05,0.5,0.8,47,How long was Lincoln's legal Career?,374
0.05,0.5,0.9,47,How long was Lincoln's legal Career?,374
0.05,0.65,0.8,47,How long was Lincoln's legal Career?,374
0.05,0.65,0.9,47,How long was Lincoln's legal Career?,374
0.05,0.72,0.8,47,How long was Lincoln's legal Career?,374
0.05,0.72,0.9,47,How long was Lincoln's legal Career?,374
0.02,0.5,0.8,1470,"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",2734
