question_id,question_text,document_idx,embedding_method
646,"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?","953,1182,1192,1204,2595",bert-base-uncased
646,"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?","952,953,967,975,979",multi-qa-mpnet-base-dot-v1
646,"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?","950,2467,2471,2596,2642",hkunlp-instructor-large
646,"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?","951,952,953,979,981",intfloat-e5-small-v2
873,What does a citizen use to propose changes to the Constitution?,"25,656,657,658,2141",bert-base-uncased
873,What does a citizen use to propose changes to the Constitution?,"171,826,1368,2365,2374",multi-qa-mpnet-base-dot-v1
873,What does a citizen use to propose changes to the Constitution?,"789,826,1368,2374,2718",hkunlp-instructor-large
873,What does a citizen use to propose changes to the Constitution?,"25,760,2120,2682,2840",intfloat-e5-small-v2
515,Is Liechtenstein bordered by Switzerland?,"30,2188,2846,2847,2874",bert-base-uncased
515,Is Liechtenstein bordered by Switzerland?,"2817,2843,2844,2846,2874",multi-qa-mpnet-base-dot-v1
515,Is Liechtenstein bordered by Switzerland?,"29,30,1592,2571,2855",hkunlp-instructor-large
515,Is Liechtenstein bordered by Switzerland?,"2817,2828,2844,2845,2846",intfloat-e5-small-v2
390,When was James Monroe appointed to Secretary of War?,"200,636,2231,2511,2965",bert-base-uncased
390,When was James Monroe appointed to Secretary of War?,"2506,2509,2512,2518,2519",multi-qa-mpnet-base-dot-v1
390,When was James Monroe appointed to Secretary of War?,"202,680,2518,2519,2903",hkunlp-instructor-large
390,When was James Monroe appointed to Secretary of War?,"2506,2509,2511,2512,2513",intfloat-e5-small-v2
376,What is Monroe's father's name?,"201,248,379,483,1864",bert-base-uncased
376,What is Monroe's father's name?,"2507,2518,2519,2523,2536",multi-qa-mpnet-base-dot-v1
376,What is Monroe's father's name?,"289,499,789,2518,2903",hkunlp-instructor-large
376,What is Monroe's father's name?,"1383,2506,2507,2521,2525",intfloat-e5-small-v2
521,Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,"419,445,485,2916,2981",bert-base-uncased
521,Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,"734,2843,2851,2853,2876",multi-qa-mpnet-base-dot-v1
521,Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,"29,2571,2851,2855,3161",hkunlp-instructor-large
521,Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,"760,1945,2120,2682,2851",intfloat-e5-small-v2
771,"Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?","1350,1656,2141,2567,2702",bert-base-uncased
771,"Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?","4,1655,2339,2369,2736",multi-qa-mpnet-base-dot-v1
771,"Does the economy not depend heavily on exports refining imported goods , especially in manufacturing ?","782,2180,2369,2571,3161",hkunlp-instructor-large
